categoria,ordem,isbn,titulo,autor,editora,cover_url,origem_url
Best Literature in Portuguese,143,,Lira Dos Vinte Anos,Álvares de Azevedo,,,https://www.goodreads.com/book/show/2529168.Lira_Dos_Vinte_Anos
Best Literature in Portuguese,144,,Desmascarando as Teorias da Negação do Holocausto,James Morcan,,,https://www.goodreads.com/book/show/32738304-desmascarando-as-teorias-da-nega-o-do-holocausto
Best Literature in Portuguese,145,,Os dias gagos,Claudia Roquette-Pinto,,,https://www.goodreads.com/book/show/32868124-os-dias-gagos
Best Literature in Portuguese,146,,Anarquistas Graças a Deus,Zélia Gattai,,,https://www.goodreads.com/book/show/21480737-anarquistas-gra-as-a-deus
Best Literature in Portuguese,147,,Serranos,Mário Braga,,,https://www.goodreads.com/book/show/15849530-serranos
Best Literature in Portuguese,148,,Olhai os Lírios do Campo,Erico Verissimo,,,https://www.goodreads.com/book/show/7243443-olhai-os-l-rios-do-campo
Best Literature in Portuguese,149,,Angústia,Graciliano Ramos,,,https://www.goodreads.com/book/show/19189627-ang-stia
Best Literature in Portuguese,150,,Perto do Coração Selvagem,Clarice Lispector,,,https://www.goodreads.com/book/show/153425.Near_to_the_Wild_Heart
Best Literature in Portuguese,151,,Empty Wardrobes,Maria Judite de Carvalho,,,https://www.goodreads.com/book/show/57570055-empty-wardrobes
Best Literature in Portuguese,152,,Onde estivestes de noite,Clarice Lispector,,,https://www.goodreads.com/book/show/58729101-onde-estivestes-de-noite
Best Literature in Portuguese,153,,Canções e Outros Poemas,António Botto,,,https://www.goodreads.com/book/show/6816933-can-es-e-outros-poemas
Best Literature in Portuguese,154,,Os Retornados,Júlio Magalhães,,,https://www.goodreads.com/book/show/3414780-os-retornados
Best Literature in Portuguese,155,,Cinquenta Tons de Cinza,E.L. James,,,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey
Best Literature in Portuguese,156,,Folhas novas,Rosalía de Castro,,,https://www.goodreads.com/book/show/12413554-folhas-novas
Best Literature in Portuguese,157,,Cobra Norato,Raul Bopp,,,https://www.goodreads.com/book/show/6583217-cobra-norato
Best Literature in Portuguese,158,,Cordilheira,Daniel Galera,,,https://www.goodreads.com/book/show/5276351-cordilheira
Best Literature in Portuguese,159,,Propulsão Antigravitacional,James Morcan,,,https://www.goodreads.com/book/show/32608093-propuls-o-antigravitacional
Best Literature in Portuguese,160,,Toda Poesia,Paulo Leminski,,,https://www.goodreads.com/book/show/17455042-toda-poesia
Best Literature in Portuguese,161,,El banquero anarquista,Fernando Pessoa,,,https://www.goodreads.com/book/show/63169.El_banquero_anarquista
Best Literature in Portuguese,162,,Cartas Portuguesas - atribuídas a Mariana Alcoforado,Mariana Alcoforado,,,https://www.goodreads.com/book/show/20907949-cartas-portuguesas---atribu-das-a-mariana-alcoforado
Best Literature in Portuguese,163,,O Retorno,Dulce Maria Cardoso,,,https://www.goodreads.com/book/show/12971382-o-retorno
Best Literature in Portuguese,164,,O Bom-Crioulo (edição revista e anotada),Adolfo Caminha,,,https://www.goodreads.com/book/show/24601077-o-bom-crioulo
Best Literature in Portuguese,165,,Scórpio,Ricardo Carvalho Calero,,,https://www.goodreads.com/book/show/12413503-sc-rpio
Best Literature in Portuguese,166,,O Milagre Segundo Salomé - Volume I,José Rodrigues Miguéis,,,https://www.goodreads.com/book/show/13633022-o-milagre-segundo-salom---volume-i
Best Literature in Portuguese,167,,A Audácia Dessa Mulher,Ana Maria Machado,,,https://www.goodreads.com/book/show/587176.A_Aud_cia_Dessa_Mulher
Best Literature in Portuguese,168,,O Sorriso do Lagarto,João Ubaldo Ribeiro,,,https://www.goodreads.com/book/show/309315.O_Sorriso_do_Lagarto
Best Literature in Portuguese,170,,Doida Não e Não,Manuela Gonzaga,,,https://www.goodreads.com/book/show/7444403-doida-n-o-e-n-o
Best Literature in Portuguese,171,,Os Homens Nunca Saberão Nada Disto,Pat R,,,https://www.goodreads.com/book/show/28160517-os-homens-nunca-saber-o-nada-disto
Best Literature in Portuguese,172,,Nuvens baixas,Núria Añó,,,https://www.goodreads.com/book/show/46144744-nuvens-baixas
Best Literature in Portuguese,173,,O Tempo Entre Costuras,María Dueñas,,,https://www.goodreads.com/book/show/10836813-the-time-in-between
Best Literature in Portuguese,174,,A Jangada de Pedra,José Saramago,,,https://www.goodreads.com/book/show/1103776.A_Jangada_de_Pedra
Best Literature in Portuguese,175,,Eu,Augusto dos Anjos,,,https://www.goodreads.com/book/show/19832445-eu
Best Literature in Portuguese,176,,O Lustre,Clarice Lispector,,,https://www.goodreads.com/book/show/48903221-o-lustre
Best Literature in Portuguese,177,,Os Jogos Lésbios ou Os Amores de Joaninha,Arsénio de Chatenay,,,https://www.goodreads.com/book/show/61151101-os-jogos-l-sbios-ou-os-amores-de-joaninha
Best Literature in Portuguese,178,,Um Deus Passeando Pela Brisa da Tarde,Mário de Carvalho,,,https://www.goodreads.com/book/show/1106624.Um_Deus_Passeando_Pela_Brisa_da_Tarde
Best Literature in Portuguese,179,,Fazenda Modelo: Novela Pecuária,Chico Buarque,,,https://www.goodreads.com/book/show/3006384-fazenda-modelo
Best Literature in Portuguese,180,,O Codex 632,José Rodrigues dos Santos,,,https://www.goodreads.com/book/show/1420918.O_Codex_632
Best Literature in Portuguese,181,,Reticencias (Vento que zoa),Ricardo Carvalho Calero,,,https://www.goodreads.com/book/show/4252261-reticencias-vento-que-zoa
Best Literature in Portuguese,182,,Palladinum: Pesadelo perpétuo,Marcelo Amaral,,,https://www.goodreads.com/book/show/16093295-palladinum
Best Literature in Portuguese,183,,A Decadência dos Olfactos,Luís Caminha,,,https://www.goodreads.com/book/show/13722924-a-decad-ncia-dos-olfactos
Best Literature in Portuguese,184,,O Milagre Segundo Salomé - Volume II,José Rodrigues Miguéis,,,https://www.goodreads.com/book/show/13633026-o-milagre-segundo-salom---volume-ii
Best Literature in Portuguese,185,,Recados Da Mãe,Maria Teresa Maia Gonzalez,,,https://www.goodreads.com/book/show/8372642-recados-da-m-e
Best Literature in Portuguese,186,,Poética,Ana Cristina Cesar,,,https://www.goodreads.com/book/show/18748070-po-tica
